# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.049917775743e+00   5.834279880313e-04   3.068084e+04
              1    -1.026515933663e+00   4.864880249321e-04   3.159867e+04
              2    -1.021392551421e+00   4.443462969933e-04   3.184263e+04
              3    -1.006838894844e+00   5.672120444596e-04   3.260349e+04
              4    -1.058308776879e+00   7.902932450215e-04   3.669836e+04
              5    -1.063176520002e+00   7.533988519857e-04   3.433130e+04
              6    -1.030875646772e+00   4.134990085942e-04   3.061337e+04
              7    -1.097882758605e+00   7.323133304129e-04   3.506183e+04
              8    -1.083235497724e+00   5.151668839346e-04   3.405617e+04
              9    -9.968979618508e-01   6.350595549182e-04   3.419484e+04
             10    -1.045355599222e+00   9.109622653009e-04   3.286976e+04
             11    -1.068478994531e+00   6.278882405350e-04   3.281007e+04
             12    -1.068587708799e+00   6.355636625645e-04   3.489371e+04
             13    -1.041430527812e+00   8.320662990455e-04   3.194381e+04
             14    -1.032887974805e+00   6.534748120087e-04   3.314206e+04
             15    -1.064190012549e+00   6.448024909041e-04   3.642486e+04
             16    -1.087167248549e+00   8.518597895066e-04   3.818296e+04
             17    -1.069108706697e+00   5.126579313667e-04   3.086114e+04
             18    -1.032843473725e+00   5.050423170676e-04   3.474896e+04
             19    -1.051818651139e+00   6.831758640705e-04   2.979650e+04
             20    -1.024084324169e+00   4.656791864284e-04   2.851371e+04
             21    -9.940952338943e-01   4.138416694719e-04   3.459177e+04
             22    -1.053641034439e+00   5.047873079003e-04   3.165853e+04
             23    -1.034432764727e+00   6.219853750267e-04   3.152428e+04
             24    -1.016077149192e+00   4.309651127119e-04   3.398880e+04
             25    -1.075026057244e+00   5.882116993618e-04   3.061223e+04
             26    -1.029921029898e+00   5.450146326494e-04   3.495546e+04
             27    -1.048670744321e+00   5.165768270886e-04   3.231017e+04
             28    -1.099354114537e+00   9.008513448424e-04   3.778586e+04
             29    -1.105440481749e+00   7.058206176931e-04   3.256754e+04
             30    -1.043697583751e+00   6.888785227085e-04   3.389052e+04
             31    -1.032686089823e+00   7.337741557886e-04   3.677238e+04
             32    -1.024396789662e+00   6.172165830606e-04   3.032800e+04
             33    -1.030513565130e+00   7.016955214269e-04   3.033743e+04
             34    -1.021019651537e+00   4.978603114626e-04   3.280278e+04
             35    -1.064719543011e+00   9.157722922710e-04   3.467382e+04
             36    -1.062842162341e+00   5.484420978902e-04   2.877417e+04
             37    -1.066242836631e+00   6.278067273810e-04   3.016060e+04
             38    -1.056937094697e+00   7.260564346482e-04   3.002326e+04
             39    -1.033573730621e+00   4.997480743771e-04   3.428124e+04
             40    -9.724072259619e-01   4.894025422156e-04   3.230663e+04
             41    -1.051648912877e+00   6.606993400448e-04   3.248149e+04
             42    -1.034822900037e+00   6.408371426727e-04   3.070662e+04
             43    -1.046951806473e+00   7.522028926579e-04   3.473822e+04
             44    -1.067856641806e+00   7.557905507071e-04   3.216609e+04
             45    -9.832076799251e-01   3.643869870590e-04   2.962330e+04
             46    -1.039479461228e+00   5.740737451756e-04   3.228531e+04
             47    -1.078276996221e+00   6.819055361090e-04   3.749490e+04
             48    -1.039507727747e+00   6.717502855143e-04   2.883045e+04
             49    -1.017715332695e+00   6.831915130724e-04   3.147036e+04
             50    -1.036377060714e+00   7.235707893244e-04   3.151193e+04
             51    -1.067697037114e+00   5.409547740787e-04   3.297446e+04
             52    -1.052153414420e+00   5.852362398353e-04   3.562150e+04
             53    -1.036163361305e+00   6.361837356195e-04   3.006991e+04
             54    -9.950238122646e-01   4.415106150178e-04   2.949468e+04
             55    -1.097984620684e+00   6.970334888843e-04   3.515093e+04
             56    -1.070822898214e+00   7.687080023569e-04   3.304338e+04
             57    -1.109163345442e+00   5.845061435504e-04   2.833049e+04
             58    -1.007440722080e+00   5.985707150476e-04   3.402298e+04
             59    -1.028478470504e+00   3.959223662201e-04   2.664946e+04
             60    -1.010948351075e+00   5.065753874409e-04   3.144201e+04
             61    -1.069300543326e+00   7.231748729240e-04   3.160097e+04
             62    -1.040659799265e+00   6.946059900966e-04   3.459430e+04
             63    -1.086996043419e+00   5.183735107080e-04   3.079898e+04
             64    -1.001608123621e+00   4.844859782015e-04   3.397321e+04
             65    -1.015785368839e+00   5.572653112684e-04   3.124213e+04
             66    -1.105374466829e+00   6.566519254321e-04   3.430101e+04
             67    -1.036081326962e+00   6.649114922774e-04   3.460280e+04
             68    -1.015304181714e+00   5.830092240270e-04   3.046210e+04
             69    -1.032368584670e+00   8.032005136658e-04   3.116589e+04
             70    -1.017497619281e+00   6.223648887227e-04   3.158292e+04
