# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.056293844769e+00   6.035729181689e-04   8.2103e+04
              1    -1.072363286312e+00   5.022165901334e-04   8.3004e+04
              2    -1.082797483439e+00   5.965343863527e-04   8.1128e+04
              3    -1.035991351709e+00   5.423717613483e-04   7.2632e+04
              4    -1.068184090404e+00   5.493920488546e-04   7.9571e+04
              5    -1.054146024418e+00   4.368934766268e-04   7.8303e+04
              6    -1.069875269783e+00   6.642747825248e-04   8.5717e+04
              7    -1.054128226769e+00   4.591452293530e-04   7.8940e+04
              8    -1.058338563265e+00   5.707920600633e-04   8.0425e+04
              9    -1.057697526729e+00   5.926710761185e-04   8.6668e+04
             10    -1.040477220913e+00   5.352427568768e-04   8.1719e+04
             11    -1.043246106855e+00   6.362908344515e-04   8.8100e+04
             12    -1.042097951420e+00   6.049724961603e-04   8.8892e+04
             13    -1.079629003256e+00   6.546185182245e-04   8.7921e+04
             14    -1.045354142020e+00   5.391446309558e-04   8.3430e+04
             15    -1.066126669390e+00   5.279920795897e-04   7.8745e+04
             16    -1.058602549614e+00   5.671989898932e-04   7.7962e+04
             17    -1.077233320549e+00   6.394947716098e-04   7.8995e+04
             18    -1.051010270665e+00   4.779301757125e-04   8.2925e+04
             19    -1.038461975620e+00   5.354168784848e-04   8.4159e+04
             20    -1.037724764785e+00   5.131698572768e-04   8.0184e+04
             21    -1.033363621826e+00   5.714796916309e-04   8.1645e+04
             22    -1.080444886164e+00   4.986882290239e-04   8.8980e+04
             23    -1.031926784291e+00   5.829105647195e-04   8.4213e+04
             24    -1.084398428197e+00   5.476954122094e-04   8.3537e+04
             25    -1.050469941627e+00   5.057886653564e-04   8.0854e+04
             26    -1.052032248121e+00   7.491122735986e-04   8.0886e+04
             27    -1.066910959231e+00   6.164522369350e-04   8.7396e+04
             28    -1.067735841056e+00   4.862854221815e-04   7.0218e+04
             29    -1.064695739983e+00   6.277566613735e-04   8.4776e+04
             30    -1.046577759419e+00   6.026472662276e-04   8.3913e+04
             31    -1.047726424199e+00   5.303574159504e-04   8.6506e+04
             32    -1.085957156540e+00   7.385428319254e-04   8.6610e+04
             33    -1.048005785083e+00   5.720283237316e-04   8.2180e+04
             34    -1.027219142744e+00   5.956809582123e-04   7.5434e+04
             35    -1.052705169574e+00   6.608121575272e-04   8.1605e+04
             36    -1.048409825904e+00   5.893026074821e-04   8.0402e+04
             37    -1.083691840163e+00   7.130347696930e-04   7.6370e+04
             38    -1.063904168962e+00   6.437836324363e-04   8.2174e+04
             39    -1.055566522770e+00   4.832276181986e-04   7.9664e+04
             40    -1.050321089379e+00   5.730511460241e-04   8.2232e+04
             41    -1.053071031335e+00   7.301351055086e-04   8.5869e+04
             42    -1.043668294348e+00   4.654214570965e-04   8.1498e+04
             43    -1.048651440891e+00   6.529097297613e-04   8.0662e+04
             44    -1.074289283580e+00   5.912478946174e-04   7.9549e+04
             45    -1.058420320571e+00   5.507801428019e-04   8.2815e+04
             46    -1.058748879207e+00   5.481459168753e-04   7.8772e+04
             47    -1.074830139337e+00   5.907366049245e-04   8.4387e+04
             48    -1.040512133917e+00   4.791774164776e-04   7.6502e+04
             49    -1.054712539130e+00   5.206291162420e-04   8.2483e+04
             50    -1.066308654733e+00   5.702175887245e-04   8.1289e+04
             51    -1.022638607148e+00   4.907624905218e-04   7.6197e+04
             52    -1.044034650107e+00   4.614452593825e-04   8.0374e+04
             53    -1.051067135389e+00   5.684081176643e-04   7.8508e+04
             54    -1.020171717535e+00   4.886504890986e-04   8.2579e+04
             55    -1.078696749617e+00   6.293286292239e-04   8.5571e+04
             56    -1.070720841704e+00   5.783296498031e-04   8.0656e+04
             57    -1.032692463438e+00   6.100032802761e-04   7.6823e+04
             58    -1.050155259743e+00   5.586110606421e-04   8.0782e+04
             59    -1.030250690888e+00   4.947170037034e-04   8.2103e+04
             60    -1.082005263680e+00   6.700382796141e-04   7.9808e+04
             61    -1.053217946494e+00   6.305963872564e-04   7.7799e+04
             62    -1.055186360485e+00   5.866160547665e-04   8.0900e+04
             63    -1.075418969367e+00   6.400574151901e-04   8.0912e+04
             64    -1.057852753845e+00   5.990886359654e-04   8.4690e+04
             65    -1.080496554982e+00   6.703036191074e-04   8.5132e+04
             66    -1.087696488759e+00   5.845552013512e-04   8.6045e+04
             67    -1.052228139204e+00   5.214785812690e-04   8.6959e+04
             68    -1.064915115321e+00   6.849406124247e-04   8.6746e+04
             69    -1.060059871254e+00   6.030927719525e-04   8.6648e+04
             70    -1.073158880727e+00   6.035912654644e-04   8.1371e+04
             71    -1.062169400579e+00   6.436519739264e-04   9.0095e+04
             72    -1.063738399779e+00   6.860022734885e-04   8.6171e+04
             73    -1.059932424207e+00   5.200860315113e-04   8.1259e+04
             74    -1.028922183403e+00   5.692493201847e-04   8.0709e+04
             75    -1.090082342035e+00   6.471796651656e-04   8.6716e+04
             76    -1.049681989527e+00   5.742159318537e-04   9.1207e+04
             77    -1.042598697941e+00   4.863954708821e-04   7.9291e+04
             78    -1.079839680248e+00   5.369850273882e-04   8.2214e+04
             79    -1.043830607833e+00   6.132971529271e-04   8.5204e+04
             80    -1.060683295627e+00   6.808429884803e-04   8.6275e+04
             81    -1.058414331739e+00   5.356322480914e-04   8.2921e+04
             82    -1.084798985198e+00   6.517716829483e-04   8.7362e+04
             83    -1.040951539749e+00   6.661060247307e-04   8.4900e+04
             84    -1.070864735972e+00   5.015634637955e-04   8.4825e+04
             85    -1.069827946908e+00   6.710872061542e-04   8.8185e+04
             86    -1.099294490004e+00   6.902105101685e-04   7.9289e+04
             87    -1.040933039291e+00   6.603442510244e-04   8.9476e+04
             88    -1.073451769978e+00   5.561856177405e-04   8.4390e+04
             89    -1.047268943577e+00   4.581559473585e-04   8.0699e+04
             90    -1.068441805807e+00   6.952146173442e-04   9.1445e+04
             91    -1.085750753044e+00   6.901225592676e-04   9.2594e+04
             92    -1.041622291836e+00   5.178050894506e-04   8.7283e+04
             93    -1.057659083699e+00   4.918577514480e-04   8.1206e+04
             94    -1.071305865027e+00   6.290501713099e-04   8.3278e+04
             95    -1.033003932279e+00   6.292486980901e-04   8.4600e+04
             96    -1.078477028742e+00   6.919887741793e-04   9.2290e+04
             97    -1.050764357358e+00   5.194240984795e-04   7.9478e+04
             98    -1.050611091238e+00   4.855893683341e-04   8.2481e+04
             99    -1.062477923274e+00   4.746296270495e-04   8.2017e+04
            100    -1.047635186755e+00   4.254756817906e-04   7.6848e+04
            101    -1.053229225084e+00   5.099569804732e-04   8.2613e+04
            102    -1.037715376762e+00   7.135576721309e-04   8.1375e+04
            103    -1.083767088702e+00   5.274235451007e-04   8.6003e+04
            104    -1.081408096988e+00   5.421365977168e-04   8.2579e+04
            105    -1.052169880831e+00   5.509083768039e-04   8.1557e+04
            106    -1.044701146253e+00   5.668596301545e-04   7.8722e+04
            107    -1.062872723099e+00   5.658750718033e-04   8.2058e+04
            108    -1.058830308789e+00   6.099269999378e-04   8.1550e+04
            109    -1.074542091952e+00   5.212185261512e-04   8.1368e+04
            110    -1.073635544783e+00   6.271595492063e-04   8.2090e+04
            111    -1.075565503295e+00   5.718059076249e-04   8.5631e+04
            112    -1.081467351170e+00   6.155224982851e-04   8.9679e+04
            113    -1.084069777479e+00   7.610202167014e-04   8.9206e+04
            114    -1.066884879367e+00   5.314700611891e-04   8.4006e+04
            115    -1.062574302973e+00   4.711989388157e-04   8.1184e+04
            116    -1.049684224043e+00   6.935958147897e-04   8.6623e+04
            117    -1.059208195129e+00   5.875397259447e-04   7.7540e+04
            118    -1.072100479765e+00   5.190048955658e-04   7.8905e+04
            119    -1.087022998677e+00   6.335473449706e-04   8.7577e+04
            120    -1.040832006196e+00   6.806447460703e-04   8.6609e+04
            121    -1.050396330187e+00   5.369392286737e-04   8.9514e+04
            122    -1.055724044067e+00   5.719663736587e-04   8.7871e+04
            123    -1.070379354226e+00   6.196815500573e-04   8.2120e+04
            124    -1.043947192406e+00   6.220299743295e-04   8.5160e+04
            125    -1.060982814730e+00   5.403878188482e-04   8.4062e+04
            126    -1.019804994231e+00   5.557481214131e-04   8.0170e+04
            127    -1.061451248097e+00   6.395520882264e-04   8.1826e+04
            128    -1.070841701690e+00   8.500305548647e-04   8.2036e+04
            129    -1.034140532454e+00   5.980200600268e-04   8.0859e+04
            130    -1.065651380804e+00   6.683272220922e-04   8.0726e+04
            131    -1.048828798564e+00   5.181263083130e-04   7.8364e+04
