# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.061145531930e+00   6.634316339716e-04   8.4101e+04
              1    -1.060225391404e+00   5.795157002788e-04   8.4990e+04
              2    -1.061534571602e+00   5.074600327722e-04   8.6671e+04
              3    -1.060098973869e+00   6.633096887501e-04   8.9480e+04
              4    -1.063714511563e+00   6.002071769211e-04   7.9400e+04
              5    -1.065779408137e+00   5.924785084263e-04   8.4126e+04
              6    -1.065048069993e+00   6.044991225738e-04   8.3146e+04
              7    -1.065897087717e+00   5.642783125433e-04   8.4817e+04
              8    -1.085355984486e+00   6.988013556476e-04   8.3189e+04
              9    -1.055698440790e+00   6.964215894953e-04   8.4401e+04
             10    -1.051503015538e+00   5.637135426548e-04   8.6287e+04
             11    -1.072126590054e+00   5.742061574432e-04   8.6954e+04
             12    -1.078951447484e+00   5.108841167257e-04   7.9505e+04
             13    -1.101368316723e+00   5.324588661826e-04   8.0350e+04
             14    -1.089203045465e+00   6.728076084505e-04   9.0409e+04
             15    -1.086156042966e+00   5.970295267757e-04   8.8212e+04
             16    -1.055688826061e+00   5.941386290829e-04   8.2241e+04
             17    -1.057646993412e+00   5.345488049459e-04   8.6498e+04
             18    -1.055506081140e+00   7.279174819891e-04   8.1302e+04
             19    -1.099005214865e+00   6.296747102731e-04   7.9590e+04
             20    -1.069456100740e+00   8.132589668869e-04   8.0979e+04
             21    -1.074910361304e+00   6.152216269699e-04   8.9756e+04
             22    -1.079036171020e+00   7.545689399149e-04   7.8722e+04
             23    -1.056515542934e+00   4.944490997081e-04   8.3398e+04
             24    -1.049489392507e+00   6.822621302665e-04   8.8999e+04
             25    -1.030126055630e+00   5.211855668348e-04   8.1091e+04
             26    -1.028177337715e+00   5.752912537033e-04   8.0453e+04
             27    -1.069005862661e+00   6.755516004176e-04   8.7364e+04
             28    -1.062045576411e+00   6.479792391957e-04   8.4567e+04
             29    -1.078545852923e+00   7.076865997667e-04   8.0202e+04
             30    -1.072036976075e+00   5.111102390169e-04   7.7385e+04
             31    -1.035961670832e+00   5.308669993972e-04   7.5952e+04
             32    -1.067824047207e+00   6.281295834252e-04   8.6952e+04
             33    -1.049159460995e+00   5.315389384213e-04   7.9289e+04
             34    -1.073429838622e+00   6.116195766028e-04   7.7033e+04
             35    -1.047348192392e+00   7.114238999212e-04   7.8448e+04
             36    -1.051225204637e+00   5.933444688795e-04   7.2362e+04
             37    -1.060975278313e+00   7.448714524990e-04   8.7788e+04
             38    -1.032716564743e+00   4.790647275774e-04   7.9261e+04
             39    -1.075936267552e+00   5.027349683693e-04   7.8142e+04
             40    -1.088081356746e+00   6.163550861826e-04   8.0655e+04
             41    -1.071592753193e+00   6.571358164288e-04   7.8413e+04
             42    -1.033365932735e+00   6.842852507274e-04   8.6459e+04
             43    -1.095468321624e+00   7.807688148614e-04   8.3729e+04
             44    -1.062763063847e+00   5.137620064594e-04   7.7261e+04
             45    -1.071061751934e+00   5.877863230614e-04   7.5854e+04
             46    -1.074562003096e+00   6.489475550539e-04   8.8710e+04
             47    -1.057005806984e+00   4.602554741342e-04   8.1378e+04
             48    -1.079544554113e+00   6.568682241847e-04   8.3058e+04
             49    -1.038448315611e+00   5.271788082469e-04   7.8041e+04
             50    -1.060553421224e+00   6.225061151264e-04   8.4694e+04
             51    -1.018521414998e+00   5.131327328710e-04   7.8287e+04
             52    -1.041621452836e+00   5.463967786043e-04   7.6446e+04
             53    -1.042502476842e+00   4.298717287696e-04   7.7371e+04
             54    -1.074266719572e+00   5.317211692861e-04   8.3395e+04
             55    -1.078727994720e+00   5.141189240082e-04   7.5366e+04
             56    -1.038373009679e+00   5.536692371243e-04   7.8973e+04
             57    -1.043796331780e+00   5.829708080814e-04   7.9899e+04
             58    -1.069665667074e+00   5.599266284588e-04   8.1688e+04
             59    -1.088202222655e+00   5.629818508454e-04   8.8745e+04
             60    -1.045537828181e+00   5.542277089210e-04   7.6702e+04
             61    -1.045783387355e+00   5.415659531337e-04   7.8758e+04
             62    -1.051396766588e+00   5.927489893224e-04   7.6743e+04
             63    -1.045517000503e+00   9.212866785726e-04   8.2773e+04
             64    -1.085842760850e+00   6.459137527270e-04   9.1730e+04
             65    -1.072883996866e+00   7.380110829325e-04   8.3387e+04
             66    -1.099682610419e+00   7.507149781785e-04   8.8542e+04
             67    -1.051703194149e+00   6.453696406114e-04   8.4635e+04
             68    -1.062693926794e+00   7.491342236413e-04   8.7965e+04
             69    -1.068133076646e+00   7.351331004386e-04   8.7233e+04
             70    -1.081480626431e+00   6.184174360527e-04   8.3252e+04
             71    -1.072772745060e+00   4.981450466543e-04   8.4141e+04
             72    -1.064200890760e+00   5.387898334679e-04   8.0844e+04
             73    -1.070387990452e+00   5.662903493618e-04   8.3961e+04
             74    -1.043819464136e+00   6.664362725750e-04   8.3394e+04
             75    -1.079169874663e+00   6.035912360513e-04   8.4544e+04
             76    -1.053330825762e+00   5.875049154758e-04   8.9458e+04
             77    -1.060968446646e+00   6.101858252349e-04   8.9392e+04
             78    -1.089549082918e+00   7.354486373679e-04   8.2655e+04
             79    -1.053436870321e+00   6.303898388660e-04   8.8278e+04
             80    -1.050913535436e+00   6.102549268400e-04   8.3413e+04
             81    -1.054097657221e+00   5.194634793184e-04   8.5752e+04
             82    -1.036848612686e+00   5.131654970733e-04   8.2884e+04
             83    -1.092472818401e+00   7.925394694539e-04   8.8603e+04
             84    -1.093210518363e+00   6.994357970686e-04   8.8286e+04
             85    -1.073012994351e+00   6.181103254333e-04   9.1170e+04
             86    -1.094613629097e+00   7.108677753452e-04   8.8539e+04
             87    -1.063116963690e+00   6.246140534159e-04   8.9697e+04
             88    -1.058408645415e+00   7.816297586253e-04   8.2964e+04
             89    -1.049351262557e+00   6.414536653794e-04   8.1169e+04
             90    -1.050067839346e+00   6.435991507731e-04   7.9101e+04
             91    -1.084505038454e+00   8.763009715211e-04   9.0308e+04
             92    -1.061004146770e+00   6.245052342026e-04   8.3233e+04
             93    -1.065076160103e+00   8.574814865783e-04   8.3232e+04
             94    -1.057378978262e+00   5.471845801375e-04   8.4070e+04
             95    -1.080883189430e+00   6.078040008912e-04   7.8564e+04
             96    -1.093428023336e+00   7.291382007843e-04   8.3828e+04
             97    -1.068822640156e+00   7.045352949049e-04   8.4323e+04
             98    -1.091053100889e+00   6.919293269023e-04   8.5482e+04
             99    -1.077922330125e+00   5.796758879753e-04   8.1894e+04
            100    -1.022602270658e+00   5.088643670094e-04   7.6648e+04
            101    -1.063567189016e+00   7.086958648230e-04   9.2834e+04
            102    -1.062524778603e+00   4.879735500245e-04   8.0489e+04
            103    -1.067457215953e+00   6.062033513360e-04   8.1966e+04
            104    -1.069856596958e+00   4.557688119859e-04   7.5219e+04
            105    -1.049964317648e+00   6.449881547711e-04   8.8666e+04
            106    -1.041694278775e+00   5.245804845902e-04   8.1584e+04
            107    -1.071743374706e+00   5.981667283427e-04   8.6790e+04
            108    -1.063039248094e+00   5.242460907294e-04   8.4686e+04
            109    -1.053734100545e+00   7.439507384474e-04   8.2940e+04
            110    -1.062157849926e+00   6.500228560212e-04   8.1502e+04
            111    -1.072105095395e+00   6.696081634930e-04   8.6733e+04
            112    -1.086999479550e+00   7.288170912420e-04   8.6901e+04
            113    -1.079589789182e+00   6.250804465321e-04   8.6268e+04
            114    -1.065398400031e+00   5.099184653634e-04   8.1946e+04
            115    -1.078987286200e+00   7.186406202443e-04   8.1801e+04
            116    -1.079282318004e+00   6.665187473999e-04   8.8983e+04
            117    -1.067861404344e+00   5.603204795627e-04   7.6789e+04
            118    -1.078955768285e+00   6.390531026908e-04   8.6383e+04
            119    -1.075800211988e+00   9.057275974913e-04   8.9699e+04
            120    -1.073983297117e+00   6.112140852475e-04   9.0928e+04
            121    -1.060088112184e+00   6.974150383817e-04   8.1155e+04
            122    -1.061583704894e+00   7.129404245636e-04   9.2816e+04
            123    -1.058853401061e+00   5.635218331615e-04   8.2460e+04
            124    -1.041746761410e+00   6.133131865737e-04   7.8372e+04
            125    -1.065662497869e+00   5.209939761760e-04   7.9821e+04
            126    -1.067358365037e+00   7.079306739073e-04   8.4335e+04
            127    -1.067230891939e+00   6.369095411360e-04   8.7648e+04
            128    -1.093057303161e+00   6.965398425909e-04   8.5203e+04
            129    -1.078470832477e+00   5.723043721308e-04   8.6144e+04
            130    -1.058850377245e+00   6.911927749044e-04   8.3466e+04
            131    -1.081491724472e+00   6.416623298175e-04   7.6180e+04
            132    -1.053200982231e+00   7.807345119472e-04   8.0642e+04
            133    -1.028742982775e+00   4.688130484525e-04   7.7071e+04
            134    -1.052061118078e+00   4.677402621491e-04   7.9016e+04
            135    -1.099193987476e+00   7.217670681593e-04   9.1747e+04
            136    -1.056675967648e+00   6.425707621347e-04   8.0505e+04
            137    -1.055441742043e+00   5.875056781881e-04   9.3514e+04
            138    -1.119862796765e+00   8.527086673165e-04   9.0810e+04
            139    -1.003592882633e+00   4.037365002237e-04   7.7259e+04
            140    -1.069524336893e+00   5.217523221870e-04   7.6058e+04
