# 1. proc label     2. energy            3. bias correction   4. time
              0    -9.312707970782e-01   4.013146173159e-04   2.931908e+04
              1    -9.370660628711e-01   3.752332386181e-04   3.249085e+04
              2    -9.691043731697e-01   3.037881677279e-04   3.294014e+04
              3    -9.064684901952e-01   3.006974039399e-04   3.082629e+04
              4    -9.446752798569e-01   3.005758225170e-04   3.096392e+04
              5    -9.135978490632e-01   3.302734934352e-04   2.965180e+04
              6    -9.202267996947e-01   2.307886132703e-04   2.458733e+04
              7    -9.437995889548e-01   3.373333758217e-04   3.048855e+04
              8    -9.450515249057e-01   3.135140267637e-04   2.846166e+04
              9    -9.367574830488e-01   4.360461592816e-04   3.345679e+04
             10    -8.962816538604e-01   4.049343801470e-04   2.797600e+04
             11    -9.645732677565e-01   3.888747282672e-04   3.133446e+04
             12    -8.863642175623e-01   2.881128236764e-04   2.868772e+04
             13    -9.378723147011e-01   3.257789947039e-04   2.864597e+04
             14    -9.217790058569e-01   3.797758488880e-04   3.310029e+04
             15    -8.799879075884e-01   4.348189491399e-04   2.807829e+04
             16    -9.165760061941e-01   3.637248937258e-04   2.892710e+04
             17    -8.898977581348e-01   3.651789777043e-04   3.221991e+04
             18    -9.336725955862e-01   3.500622439250e-04   3.559734e+04
             19    -9.182995801270e-01   4.983719977191e-04   2.679499e+04
             20    -9.536022102274e-01   3.759130962119e-04   3.529535e+04
             21    -9.239994006981e-01   3.041135694233e-04   2.924226e+04
             22    -9.144759180701e-01   2.993601633353e-04   2.939201e+04
             23    -9.544537361266e-01   3.912618201104e-04   3.289756e+04
             24    -9.535836827492e-01   3.235084817865e-04   3.040058e+04
             25    -9.543030930715e-01   4.397405614509e-04   3.079075e+04
             26    -9.011052151852e-01   2.791651307694e-04   3.075305e+04
             27    -9.174602842418e-01   2.538192144844e-04   3.019986e+04
             28    -9.421951622970e-01   4.725800311362e-04   3.416514e+04
             29    -8.860667221080e-01   3.319888364176e-04   2.867268e+04
             30    -9.454659046502e-01   4.078461205557e-04   3.145580e+04
             31    -9.152496004190e-01   2.887660858603e-04   2.744994e+04
             32    -9.074290886971e-01   3.638509899923e-04   2.848653e+04
             33    -8.993519748561e-01   2.720932507944e-04   2.619963e+04
             34    -9.347105740453e-01   3.320129642573e-04   2.895564e+04
             35    -8.784052337405e-01   4.098578023108e-04   2.697137e+04
             36    -8.662171334456e-01   2.887041950055e-04   2.515738e+04
             37    -9.441014878841e-01   3.055090561144e-04   2.755110e+04
             38    -9.205387916688e-01   3.851589698581e-04   2.762351e+04
             39    -9.610488317464e-01   4.951958582588e-04   2.863168e+04
             40    -9.271422824883e-01   2.913623348765e-04   2.944946e+04
             41    -9.443713195139e-01   4.565280140541e-04   2.650249e+04
             42    -8.970520084663e-01   3.752681158069e-04   2.882537e+04
             43    -9.124567454614e-01   3.117906028217e-04   2.975900e+04
             44    -8.872583866452e-01   2.908494672783e-04   2.937115e+04
             45    -9.231445766503e-01   3.692160829149e-04   2.844234e+04
             46    -9.035481947029e-01   4.614228734558e-04   3.233175e+04
             47    -8.957293989984e-01   3.532046760999e-04   2.761199e+04
             48    -8.997850748136e-01   3.976859829350e-04   2.929379e+04
             49    -9.073780922523e-01   3.624192060630e-04   2.628786e+04
             50    -9.375303516673e-01   5.202113007805e-04   3.050052e+04
             51    -9.217168315320e-01   3.738439131069e-04   3.055999e+04
             52    -9.121756640231e-01   3.744781424571e-04   2.560018e+04
             53    -9.322061103304e-01   3.756859666715e-04   2.791806e+04
             54    -8.982755156148e-01   2.929471289029e-04   2.705301e+04
             55    -9.251707313264e-01   3.957113861039e-04   3.082191e+04
             56    -9.126980187929e-01   3.552535927884e-04   2.677320e+04
             57    -9.336062357964e-01   4.274130017011e-04   2.786069e+04
             58    -8.927624652810e-01   3.260160869795e-04   2.970619e+04
             59    -9.115877484027e-01   4.166064360431e-04   2.912868e+04
             60    -8.771674624535e-01   2.744937181575e-04   2.516539e+04
             61    -9.212268611904e-01   3.797706894279e-04   3.129179e+04
             62    -9.248232554604e-01   2.764056102100e-04   3.211534e+04
             63    -9.365201845220e-01   3.053000449601e-04   2.925868e+04
             64    -9.170770495383e-01   3.217974848898e-04   3.204857e+04
             65    -9.320672655229e-01   3.219862656507e-04   3.040097e+04
             66    -8.887464639335e-01   3.720374803553e-04   3.027209e+04
             67    -9.171939098477e-01   3.692809810280e-04   3.348542e+04
             68    -9.689004175404e-01   3.779610754611e-04   3.547452e+04
             69    -9.348757427235e-01   3.445273337992e-04   3.298364e+04
             70    -9.222854177466e-01   2.734910040604e-04   2.778846e+04
             71    -9.131227874610e-01   3.073668996586e-04   3.138330e+04
             72    -9.046163137567e-01   2.573987606523e-04   3.179164e+04
             73    -9.532633613136e-01   2.770610508343e-04   3.069740e+04
             74    -8.995028114691e-01   4.068252688355e-04   3.251652e+04
             75    -9.248984552552e-01   3.125957444381e-04   3.131870e+04
             76    -9.426557268584e-01   2.828565845268e-04   2.785101e+04
             77    -9.098368373326e-01   2.780309093151e-04   3.218427e+04
             78    -9.155766420421e-01   4.726315552415e-04   3.414217e+04
             79    -8.974549458308e-01   6.172039754404e-04   3.229495e+04
             80    -9.244615022553e-01   4.178069000309e-04   2.923092e+04
             81    -9.139586475334e-01   3.085735588824e-04   2.875941e+04
             82    -9.158749192314e-01   3.051139213326e-04   3.579921e+04
             83    -9.331404261518e-01   4.040099207950e-04   2.909161e+04
             84    -8.912747853219e-01   3.268609296120e-04   3.095760e+04
             85    -9.060743670906e-01   3.148299656160e-04   3.356742e+04
             86    -9.197396889687e-01   3.427216303231e-04   2.751964e+04
             87    -8.969940636779e-01   5.022055664598e-04   3.086028e+04
             88    -9.349596462188e-01   4.680921514890e-04   3.149102e+04
             89    -8.863164550674e-01   3.183769614470e-04   3.218807e+04
             90    -9.238064453855e-01   3.661786745364e-04   3.173660e+04
             91    -9.222615106806e-01   4.372558014342e-04   3.350218e+04
             92    -9.304372615486e-01   4.569034649239e-04   3.361443e+04
             93    -9.309005781923e-01   2.939880494269e-04   3.336872e+04
             94    -9.264644986562e-01   3.726430160433e-04   3.420882e+04
             95    -9.008124088858e-01   3.479506206204e-04   3.478994e+04
             96    -9.258804149698e-01   3.471015975721e-04   3.185889e+04
             97    -9.503652028682e-01   3.680474934291e-04   3.246184e+04
             98    -9.499853639576e-01   4.161773944703e-04   2.872654e+04
             99    -9.214883807983e-01   4.620454569694e-04   3.255345e+04
            100    -9.139954636799e-01   3.372234367900e-04   2.804103e+04
            101    -9.153126554055e-01   3.631661585146e-04   2.826156e+04
            102    -9.234323833161e-01   3.421112497524e-04   3.059114e+04
            103    -9.138444781395e-01   4.149091441110e-04   3.016495e+04
            104    -8.913211201527e-01   3.921532538395e-04   2.921120e+04
            105    -8.672420070043e-01   3.839735252651e-04   2.989432e+04
            106    -9.271302060736e-01   3.575236305958e-04   3.202703e+04
            107    -9.176658641981e-01   4.959641903383e-04   3.336646e+04
            108    -9.170008228241e-01   4.207193502599e-04   3.223578e+04
            109    -8.992157907192e-01   2.788834087012e-04   2.676788e+04
            110    -9.171570350714e-01   3.108277139917e-04   3.794306e+04
            111    -9.311697771159e-01   3.294398121338e-04   2.990217e+04
            112    -8.857505868636e-01   3.336162917897e-04   3.382118e+04
            113    -9.084168899421e-01   3.048561168748e-04   2.892166e+04
            114    -8.939895523902e-01   3.678001979162e-04   3.059889e+04
            115    -9.134537897044e-01   3.083229880193e-04   2.954180e+04
            116    -9.084363883862e-01   4.023352330452e-04   3.032211e+04
            117    -9.036172540502e-01   3.964564686297e-04   3.163762e+04
            118    -9.048403974902e-01   5.812400502025e-04   3.129410e+04
