# 1. proc label     2. energy            3. bias correction   4. time
              0    -8.839069458932e-01   2.410366580912e-04   2.079952e+04
              1    -9.084830443397e-01   2.207009140441e-04   2.693587e+04
              2    -8.663194338608e-01   2.457870124930e-04   2.375237e+04
              3    -8.725158720033e-01   2.712612446946e-04   2.614640e+04
              4    -8.610724884167e-01   2.351588072641e-04   2.472424e+04
              5    -8.888738790816e-01   2.357350649015e-04   2.577910e+04
              6    -8.888355389915e-01   2.014922056964e-04   2.124600e+04
              7    -8.981926538142e-01   2.295359100911e-04   2.547378e+04
              8    -8.613142822111e-01   2.349213648668e-04   2.670670e+04
              9    -8.596490704113e-01   2.280393092623e-04   2.406594e+04
             10    -8.620032209817e-01   2.720869376036e-04   2.553157e+04
             11    -8.713263769696e-01   2.258376937067e-04   2.497660e+04
             12    -8.417195065226e-01   1.976573919936e-04   2.451424e+04
             13    -8.449020534321e-01   2.091037580471e-04   2.185742e+04
             14    -9.049109746703e-01   3.341726564518e-04   2.880188e+04
             15    -8.494867290149e-01   1.976703841129e-04   2.427412e+04
             16    -8.657111183871e-01   2.658459296793e-04   2.721220e+04
             17    -8.497732915840e-01   2.363221316157e-04   2.271671e+04
             18    -9.094143219610e-01   2.363009646675e-04   2.429285e+04
             19    -8.877608375086e-01   2.820660202751e-04   2.767604e+04
             20    -9.240869457993e-01   3.262816134284e-04   2.804308e+04
             21    -8.940705326975e-01   2.609112819400e-04   2.655757e+04
             22    -8.761512467599e-01   2.075368381460e-04   2.693738e+04
             23    -8.518267634986e-01   2.401094937605e-04   2.437644e+04
             24    -8.727145591256e-01   2.081877234697e-04   2.612132e+04
             25    -8.466345973918e-01   2.407842231441e-04   2.300465e+04
             26    -8.645773094633e-01   2.073204360545e-04   2.537492e+04
             27    -8.706009782012e-01   2.552497900401e-04   2.161240e+04
             28    -8.606290711152e-01   2.629813549391e-04   2.292387e+04
             29    -8.628703449270e-01   3.104186555856e-04   2.369213e+04
             30    -8.325316022144e-01   2.492088547810e-04   2.235951e+04
             31    -8.871037723761e-01   2.611715091081e-04   2.716485e+04
             32    -8.708067355519e-01   2.132219747837e-04   2.406941e+04
             33    -8.590668720152e-01   2.163800361337e-04   2.239987e+04
             34    -8.660294901820e-01   2.180504158855e-04   2.500967e+04
