# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.442365593725e-01   7.858991422887e-05   2.678208e+02
              1    -2.440855997587e-01   7.824351075714e-05   2.729469e+02
              2    -2.438191761048e-01   7.876938985681e-05   2.671763e+02
              3    -2.459630350851e-01   8.044645684189e-05   2.794154e+02
              4    -2.399759340172e-01   7.588334414612e-05   2.684853e+02
              5    -2.402034529903e-01   7.565130873502e-05   2.711698e+02
              6    -2.447536711218e-01   7.681011106812e-05   2.755988e+02
              7    -2.434667465971e-01   7.620450427302e-05   2.732857e+02
              8    -2.409880689966e-01   7.273378495045e-05   2.723192e+02
              9    -2.439248927957e-01   7.937167718941e-05   2.731687e+02
             10    -2.420396726571e-01   7.929070229145e-05   2.691955e+02
             11    -2.413445734623e-01   7.703759849418e-05   2.692168e+02
             12    -2.435806666530e-01   7.622277605507e-05   2.742296e+02
             13    -2.436431768590e-01   7.855976825945e-05   2.688552e+02
             14    -2.433826825310e-01   7.466926413194e-05   2.711807e+02
             15    -2.461655963090e-01   7.882401986147e-05   2.696843e+02
