# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.584994310488e-01   6.760462533321e-05   2.427890e+02
              1    -1.599436068890e-01   6.735603913582e-05   2.402366e+02
              2    -1.573809442565e-01   6.905589515849e-05   2.379370e+02
              3    -1.576965764627e-01   6.456407601939e-05   2.362414e+02
              4    -1.585662209668e-01   6.621915916511e-05   2.373895e+02
              5    -1.592353520861e-01   6.685593366642e-05   2.381855e+02
              6    -1.579556524532e-01   6.823748843961e-05   2.352638e+02
              7    -1.598156950243e-01   6.849614543263e-05   2.369369e+02
              8    -1.574404012475e-01   6.464548768908e-05   2.399006e+02
              9    -1.586577991577e-01   6.721271411167e-05   2.387629e+02
             10    -1.571257705122e-01   6.667764869206e-05   2.417436e+02
             11    -1.575300074166e-01   6.401619486965e-05   2.358012e+02
             12    -1.585224419729e-01   6.315378459342e-05   2.354135e+02
             13    -1.587308389839e-01   6.640138956627e-05   2.366487e+02
             14    -1.591811273824e-01   6.743409759714e-05   2.376671e+02
             15    -1.579324846186e-01   6.510319092064e-05   2.394632e+02
