# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.301077998029e-01   7.127657629896e-05   2.296988e+02
              1    -2.326630544632e-01   7.584593358422e-05   2.352618e+02
              2    -2.288997616309e-01   7.443273579961e-05   2.288828e+02
              3    -2.332207662535e-01   7.559627193434e-05   2.319556e+02
              4    -2.300554782624e-01   7.295211003964e-05   2.321370e+02
              5    -2.337836564222e-01   7.474415320712e-05   2.337273e+02
              6    -2.349190473911e-01   7.723547955939e-05   2.305223e+02
              7    -2.319324150125e-01   7.108961757871e-05   2.348524e+02
              8    -2.360988715943e-01   7.624340251777e-05   2.339257e+02
              9    -2.317103537906e-01   6.963704123921e-05   2.296257e+02
             10    -2.349668847688e-01   7.544344110042e-05   2.311412e+02
             11    -2.328020250876e-01   7.379482963124e-05   2.345147e+02
             12    -2.303301008836e-01   7.463873278193e-05   2.298409e+02
             13    -2.338824751148e-01   7.255601988109e-05   2.293054e+02
             14    -2.335779425988e-01   7.503358406661e-05   2.333320e+02
             15    -2.326289678085e-01   7.416589323491e-05   2.320357e+02
