# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.130121043017e-01   7.100661709960e-05   2.304491e+02
              1    -2.139651959477e-01   7.499838446271e-05   2.285332e+02
              2    -2.116952126095e-01   7.007443700973e-05   2.248956e+02
              3    -2.125214898551e-01   7.120177944777e-05   2.260142e+02
              4    -2.116627019618e-01   7.131423390958e-05   2.273688e+02
              5    -2.110531763883e-01   7.436509889106e-05   2.291766e+02
              6    -2.129621135054e-01   7.129698956580e-05   2.229877e+02
              7    -2.130644929709e-01   7.437648314493e-05   2.258368e+02
              8    -2.145456769582e-01   7.401234120600e-05   2.246024e+02
              9    -2.108069321719e-01   7.159630450584e-05   2.204096e+02
             10    -2.149811661666e-01   7.533009796160e-05   2.283697e+02
             11    -2.104698078183e-01   7.312176979063e-05   2.179316e+02
             12    -2.146222447935e-01   7.289305604006e-05   2.254948e+02
             13    -2.111825419631e-01   7.421662308517e-05   2.218085e+02
             14    -2.117807699238e-01   7.049230027813e-05   2.263347e+02
             15    -2.135652562889e-01   7.203786128603e-05   2.282000e+02
