# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.445610553781e-01   7.321280773173e-05   2.457480e+02
              1    -2.443552932447e-01   6.998642436614e-05   2.430664e+02
              2    -2.421330248603e-01   7.111855575381e-05   2.474678e+02
              3    -2.424997606637e-01   6.808704325134e-05   2.377456e+02
              4    -2.457491697814e-01   7.182495536278e-05   2.450319e+02
              5    -2.425838559945e-01   7.374684800716e-05   2.460551e+02
              6    -2.439246974674e-01   6.883397794351e-05   2.485891e+02
              7    -2.447211041504e-01   7.416292419599e-05   2.459340e+02
              8    -2.424097275290e-01   7.293623090367e-05   2.460273e+02
              9    -2.386491902602e-01   6.903587749298e-05   2.408197e+02
             10    -2.397151802521e-01   6.937958681512e-05   2.437851e+02
             11    -2.422358300304e-01   7.126441152006e-05   2.415769e+02
             12    -2.413037641629e-01   7.065900932209e-05   2.423215e+02
             13    -2.453469210141e-01   7.139886706204e-05   2.466041e+02
             14    -2.424920094087e-01   6.976033448340e-05   2.458367e+02
             15    -2.411567586047e-01   7.157143592072e-05   2.415520e+02
