# 1. proc label     2. energy            3. bias correction   4. time
              0    -1.496206842995e-01   5.549166338719e-05   2.322964e+02
              1    -1.501854673464e-01   5.527091264310e-05   2.368595e+02
              2    -1.482655709488e-01   5.414503735215e-05   2.341307e+02
              3    -1.488540535330e-01   5.474602283843e-05   2.327409e+02
              4    -1.494007760921e-01   5.796420710894e-05   2.355354e+02
              5    -1.499251539477e-01   5.688902656584e-05   2.364313e+02
              6    -1.485713102758e-01   5.582371126177e-05   2.313135e+02
              7    -1.500645370950e-01   5.674838017881e-05   2.355977e+02
              8    -1.491067881374e-01   5.501443802080e-05   2.308657e+02
              9    -1.492663581763e-01   5.555317281315e-05   2.357325e+02
             10    -1.505150750504e-01   5.572198821421e-05   2.376731e+02
             11    -1.489063952046e-01   5.579993474804e-05   2.337575e+02
             12    -1.485652747774e-01   5.645337570823e-05   2.336718e+02
             13    -1.485214339270e-01   5.511591288392e-05   2.320672e+02
             14    -1.475984184412e-01   5.575492770939e-05   2.337027e+02
             15    -1.488179211389e-01   5.535133416793e-05   2.333858e+02
