# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.308231945422e-01   6.896475210400e-05   2.139143e+02
              1    -2.316939550415e-01   7.409883719162e-05   2.152316e+02
              2    -2.280420259843e-01   7.006433316297e-05   2.129039e+02
              3    -2.284248744128e-01   7.125949547497e-05   2.090243e+02
              4    -2.300248409772e-01   7.285082094279e-05   2.117476e+02
              5    -2.339094574830e-01   7.349456554691e-05   2.195771e+02
              6    -2.305353396595e-01   7.199741985736e-05   2.094178e+02
              7    -2.300158912903e-01   6.863892666275e-05   2.118045e+02
              8    -2.316494521184e-01   7.342883188058e-05   2.156984e+02
              9    -2.283743746509e-01   7.074646957119e-05   2.110334e+02
             10    -2.295953525407e-01   7.168646444503e-05   2.116902e+02
             11    -2.314195366047e-01   7.254167283439e-05   2.098052e+02
             12    -2.268243574873e-01   7.040351850545e-05   2.111502e+02
             13    -2.303969631426e-01   7.045671610952e-05   2.097526e+02
             14    -2.265940125416e-01   7.109326892842e-05   2.090936e+02
             15    -2.264176317865e-01   6.886249187998e-05   2.071192e+02
