# 1. proc label     2. energy            3. bias correction   4. time
              0    -2.084478900110e-01   7.047873895275e-05   2.220628e+02
              1    -2.072116177168e-01   7.240019280371e-05   2.025417e+02
              2    -2.061258859774e-01   7.155132095494e-05   2.016970e+02
              3    -2.040519617564e-01   6.885855751343e-05   1.990865e+02
              4    -2.077825907512e-01   6.799187168885e-05   2.032889e+02
              5    -2.081049527009e-01   6.890814688541e-05   2.063905e+02
              6    -2.062036916734e-01   6.977042398666e-05   2.020839e+02
              7    -2.088508772523e-01   6.938360247807e-05   2.037008e+02
              8    -2.071854700025e-01   7.171241373259e-05   2.050330e+02
              9    -2.078945635741e-01   6.788138397644e-05   2.035804e+02
             10    -2.079965667172e-01   7.060015804373e-05   2.026605e+02
             11    -2.085025357318e-01   7.188985224551e-05   2.067063e+02
             12    -2.062255748131e-01   7.228016540893e-05   2.039520e+02
             13    -2.055943265913e-01   6.908943319005e-05   2.023257e+02
             14    -2.053480404126e-01   6.816495623662e-05   2.035013e+02
             15    -2.083647144919e-01   7.016059995800e-05   2.046923e+02
