# 1. proc label     2. energy            3. bias correction   4. time
              0    -3.259212451924e-01   7.402889616303e-05   4.981436e+03
              1    -3.255653650905e-01   7.314624226353e-05   5.068402e+03
              2    -3.246614562415e-01   6.935408954205e-05   4.926828e+03
              3    -3.310488946994e-01   7.286245666862e-05   5.203013e+03
              4    -3.291787784033e-01   8.476498251377e-05   5.102494e+03
              5    -3.303636483884e-01   7.649841429729e-05   5.216465e+03
              6    -3.315642983883e-01   8.336038047445e-05   5.142792e+03
              7    -3.319338728916e-01   7.331380584345e-05   5.002632e+03
              8    -3.263275471993e-01   7.464433128508e-05   5.128553e+03
              9    -3.283831508578e-01   6.868625689702e-05   4.901321e+03
             10    -3.307657643902e-01   7.578604510972e-05   5.218365e+03
             11    -3.338979408197e-01   7.386024604402e-05   5.267508e+03
             12    -3.240618294238e-01   6.922883038696e-05   4.958268e+03
             13    -3.306437605953e-01   7.153441750877e-05   5.074781e+03
             14    -3.283660642254e-01   7.202239601466e-05   5.100661e+03
             15    -3.265293960639e-01   6.989626386876e-05   5.005797e+03
             16    -3.289221058958e-01   6.986430275020e-05   5.044227e+03
             17    -3.344032370359e-01   8.426154237380e-05   5.331035e+03
             18    -3.293749248318e-01   6.759240462367e-05   5.139739e+03
             19    -3.257581786870e-01   7.836853554421e-05   5.159592e+03
             20    -3.280176377167e-01   8.003847617705e-05   5.166247e+03
             21    -3.305229369004e-01   7.675980467760e-05   5.240892e+03
             22    -3.271204216063e-01   6.816408190944e-05   5.146109e+03
             23    -3.247078651412e-01   6.935306509157e-05   4.876974e+03
             24    -3.307009675034e-01   7.978914123562e-05   5.121015e+03
             25    -3.282683127959e-01   7.349589363159e-05   5.115122e+03
             26    -3.253394729702e-01   7.340913578923e-05   5.073345e+03
             27    -3.276816571551e-01   6.960134288170e-05   4.929124e+03
             28    -3.272726517465e-01   7.074872662500e-05   5.028385e+03
             29    -3.312217634282e-01   8.239656474696e-05   5.001947e+03
             30    -3.289493887739e-01   6.814158740818e-05   4.992437e+03
             31    -3.258748709129e-01   6.884866488675e-05   5.107193e+03
